[2026-06-10T10:59:13.673Z] GET http://localhost:5173/ → 200 (213ms, 1707B)
[2026-06-10T10:59:13.916Z] GET http://localhost:5173/@vite/client → pending (?ms, ?B)
[2026-06-10T10:59:13.916Z] GET https://fonts.googleapis.com/css2?family=Noto+Sans+KR:wght@400;500;600;700&display=swap → pending (?ms, ?B)
[2026-06-10T10:59:13.916Z] GET https://cdn.tailwindcss.com/ → pending (?ms, ?B)
[2026-06-10T10:59:13.916Z] GET http://localhost:5173/src/main.jsx → pending (?ms, ?B)
[2026-06-10T10:59:13.930Z] GET http://localhost:5173/@react-refresh → pending (?ms, ?B)
[2026-06-10T10:59:16.881Z] GET https://cdn.tailwindcss.com/3.4.17 → 200 (85ms, 407279B)
[2026-06-10T10:59:25.782Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=c3e6c4b8 → 200 (158ms, 37035B)
[2026-06-10T10:59:25.782Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=c3e6c4b8 → 200 (22ms, 219B)
[2026-06-10T10:59:25.782Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=c3e6c4b8 → 200 (74ms, 1118B)
[2026-06-10T10:59:25.783Z] GET http://localhost:5173/src/App.jsx → 200 (136ms, 23709B)
[2026-06-10T10:59:25.783Z] GET http://localhost:5173/src/index.css → 200 (78ms, 1402B)
[2026-06-10T10:59:25.805Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-RLJ2RCJQ.js?v=c3e6c4b8 → pending (?ms, ?B)
[2026-06-10T10:59:25.805Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-DC5AMYBS.js?v=c3e6c4b8 → 200 (131ms, 1830B)
[2026-06-10T10:59:25.858Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-NUMECXU6.js?v=c3e6c4b8 → pending (?ms, ?B)
[2026-06-10T10:59:25.924Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=c3e6c4b8 → pending (?ms, ?B)
[2026-06-10T10:59:25.924Z] GET http://localhost:5173/src/components/Layout.jsx → pending (?ms, ?B)
[2026-06-10T10:59:25.927Z] GET http://localhost:5173/src/pages/Dashboard.jsx → pending (?ms, ?B)
[2026-06-10T10:59:25.927Z] GET http://localhost:5173/src/pages/Services.jsx → pending (?ms, ?B)
